Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
5_DAY_AVERAGE_TURNOVER_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,40
5_DAY_AVERAGE_VOLUME_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,5
5_MINUTE_PRICE_CHANGE,Derived Data, ,Equity, , , , , ,Index,Curncy, ,Price,20
5_YEAR_KEY_RATE_SOVEREIGN_CURVE,Derived Data, , , , , , , ,Index, , ,Real,20
5_YEAR_KEY_RATE_SWAP_CURVE,Derived Data, , , , , , , ,Index, , ,Real,20
5_YR_CUSTOM_AVG_SAME_FREQ,Derived Data, , , , , , , ,Index, , ,Price,20
5_YR_MARKET_TO_DRSK_MODEL_RATIO,Security Master, ,Equity, , , , ,Corp, , , ,Real,15
5TH_HI_ALL_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,20
5TH_HI_NON_EQ_INCNTV_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,20
5TH_HI_NON_EQTY_INCNTV_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,20
5TH_HI_PEN_N_QUA_DEF_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,20
5TH_HI_PENS_NON_QUAL_DEF_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,20
5TH_HIGHEST_ALL_OTH_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
